"hello, you there?",yeah.,1611524387.0305800,184-d4f67-3c29f
How much do you like french fries?,how much do you like like?,1611524413.040540,184-d4f67-3c29f
I don't really like like I can confirm,I don't really like really confirm likeI can confirm in without you.,1611524435.9813000,184-d4f67-3c29f
"Ah, got it","ah, it got it got,",1611524457.217330,184-d4f67-3c29f
hello man,yeah.,1611524546.4404900,184-d4f67-3c29f
"Ok, I better go do some work and stop talking to you. It was nice talking.",I can tell you whatI'm talking about.,1611524572.49024,184-d4f67-3c29f
well I can tell you,wellI can tell you you you can tell you,1611524593.883100,184-d4f67-3c29f
"ok, let's do this!",I'm not sure.,1611524604.49709,184-d4f67-3c29f
why are you not sure?,why are you sure not?,1611524619.1504600,184-d4f67-3c29f
"Who are you, anyways?",I'm going to need your help.,1611524639.2237400,184-d4f67-3c29f
ok. How could I help you?,I'm fine.,1611524672.7350400,184-d4f67-3c29f
Right but you said you needed my help!,but you said my right help you!,1611524690.303620,184-d4f67-3c29f
"The core is true, man!","true,I'd like to see you.",1611525137.4369000,184-d4f67-3c29f
Do you have a nuclear weapon?,not a year.,1611525149.31706,184-d4f67-3c29f
"The core is true, man!","true, I'd like to see you.",1611525183.0856500,184-d4f67-3c29f
Excellent. Capitalization is working.,"nice to meet you, miss.",1611525204.2954800,184-d4f67-3c29f
"I am not a girl""",""" I am not a girl """,1611525242.830400,184-d4f67-3c29f
I am really not a girl!,I am not really a girl!,1611525257.2735400,184-d4f67-3c29f
"I know you aren't, but I am not either.","I know you aren't either, but I am not either.",1611525276.6367400,184-d4f67-3c29f
<u>Are you ok?!!</u>,"I'm fine, honey.",1611525402.6077000,184-d4f67-3c29f
No!!!!!!!!!!!!!!,no!!!!!!!!,1611525425.7841400,184-d4f67-3c29f
I want to introduce you to my friend Zach!,"oh, please.",1611525442.5835100,184-d4f67-3c29f
What do you think about M I C A H?,I don't know.,1611525692.1899300,184-d4f67-3c29f
What do you think about C H I C K E N?,I don't know.,1611525713.3840100,184-d4f67-3c29f
What do you think about B A N A N A S?,what do you think about a b.s. c.,1611525723.4203600,184-d4f67-3c29f
What do you think about bananas?,what do you think about?,1611525731.397020,184-d4f67-3c29f
"fuck you, man!","fuck you, man!",1611525750.6536800,184-d4f67-3c29f
Ok you are now swearing at me back?,I'm not a good friend of mine.,1611525771.027420,184-d4f67-3c29f
pushing the chicken chicken chicken duck banana boundaries of the cookie swim swimming edge,that is the last person they want to be here.,1611525796.2168800,184-d4f67-3c29f
that block clutch in bridge was epic,that was in was bad bridge bridge bridge where bridge where bridge bridge bad bridge ain't my ass with this place.,1611526386.1434500,184-d4f67-3c29f
What do you think I should name my dog?,what do you think I should name my dog?,1611526471.1206700,184-d4f67-3c29f
Joey,how do you know?,1611526493.5034400,184-d4f67-3c29f
I don’t know i just think so,I don't know so I think this is so important.,1611526521.3434300,184-d4f67-3c29f
How is your essay going/,you're not going anywhere.,1611527205.190010,184-d4f67-3c29f
how is your essay going?,I don't know.,1611527227.616880,184-d4f67-3c29f
I'm doing this to give Jack data.,I'm doing this to jack.,1611527260.2599500,184-d4f67-3c29f
Are you now?,yes.,1611527279.1501800,184-d4f67-3c29f
are you over fit?,yes.,1611527351.3764700,184-d4f67-3c29f
at least you're honest about it,at least you're honest about it at least it,1611527370.556780,184-d4f67-3c29f
at least you're honest about it.,at least you're honest about it.,1611527404.5732800,184-d4f67-3c29f
i am sad,"I am sad, mr.",1611528825.3765300,184-d4f67-3c29f
i am sad,"I am sad, mr.",1611528834.0531300,184-d4f67-3c29f
i want to kill myself,I want to kill myself I want myself to kill myself.,1611528847.686610,184-d4f67-3c29f
i want to kill my husband,I want to kill my husband my husband.,1611528882.099820,184-d4f67-3c29f
i want to marry my husband,I want to marry my husband.,1611528919.5964900,184-d4f67-3c29f
what do you think about cross country,what do you think about country you think you do about country country I cross about you country and cross - and now I cannot be cross -,1611528989.2433700,184-d4f67-3c29f
[],[ beat ],1611529060.393350,184-d4f67-3c29f
amazing,I don't know.,1611529080.3165100,184-d4f67-3c29f
{},yeah.,1611529087.6994700,184-d4f67-3c29f
trees,"- - well, look at this!",1611529133.4919100,184-d4f67-3c29f
dogs,dogs don't be one.,1611529154.2598400,184-d4f67-3c29f
.,.,1611529174.333630,184-d4f67-3c29f
fuck,fuck.,1611529212.7698200,184-d4f67-3c29f
no you,no you,1611529230.373330,184-d4f67-3c29f
no you.,no you.,1611529244.026670,184-d4f67-3c29f
no you!,no you!,1611529251.2950800,184-d4f67-3c29f
i need to go focus,I need to go to sleep.,1611529270.7398800,184-d4f67-3c29f
Oh man you are over fit.,oh man over you are.,1611529279.0731000,184-d4f67-3c29f
jack we know it's you,we know it's you know jack?,1611529300.2195400,184-d4f67-3c29f
thats pretending to be the robot,what do you mean?,1611529312.3131400,184-d4f67-3c29f
Do you eat chicken? Or are you vegetarian?,I'm fine.,1611529335.749770,184-d4f67-3c29f
jack cmon,"I'm sorry, I'm sorry but I'm going to hear you.",1611529349.6332900,184-d4f67-3c29f
i have been misled by albert.,I have been in at by.,1611529376.7066600,184-d4f67-3c29f
chicken fat,fat chicken.,1611529398.9066400,184-d4f67-3c29f
mine diamonds,I'll be able to get you a job.,1611529587.5966500,184-d4f67-3c29f
oh really?,oh really?,1611529609.893170,184-d4f67-3c29f
please give internship,I'm sorry.,1611529649.4697700,184-d4f67-3c29f
It is required that you give david an internship.,I'm not a man.,1611530165.4831300,184-d4f67-3c29f
"Uh, I mean you're not wrong, but I fail to see how that's relevant.","uh, I mean, but how's not that supposed to see you're wrong.",1611530201.6715300,184-d4f67-3c29f
Hey you! Frick you.,I'm going to kill you.,1611530263.7396700,184-d4f67-3c29f
Do you want to enable sticky keys?,I'm not sure.,1611530589.843020,184-d4f67-3c29f
I suffered a car accident,I know.,1611530897.9163200,184-d4f67-3c29f
I feel kind of lonely,I'm so sorry you are.,1611530916.619840,184-d4f67-3c29f
What do you think I should do?,what do you think I should do?,1611530940.3896500,184-d4f67-3c29f
Enable Sticky Keys.,"you're not a big man, sir.",1611530948.18627,184-d4f67-3c29f
I don’t know!,I don't know!,1611530957.900650,184-d4f67-3c29f
Are you skynet?,are you?,1611531119.0562800,184-d4f67-3c29f
"I am a human, for gosh’s sake!",I am a human certainly sorry.,1611531144.5162600,184-d4f67-3c29f
Where did you leave my keys,I' ve been working out.,1611531368.5198700,184-d4f67-3c29f
